time,btc,eth,ltc
2017-05-27 23:37:01,13500.0,1141.2,143.5
2017-05-27 23:38:02,13647.99,1141.01,145.48
2017-05-27 23:39:02,13647.99,1141.0,145.49
2017-05-27 23:40:02,13647.99,1160.0,145.49
2017-05-27 23:41:01,13650.0,1161.0,146.9
2017-05-27 23:42:01,13649.0,1160.99,148.51
2017-05-27 23:43:02,13650.0,1160.41,149.7
2017-05-27 23:44:02,13650.0,1161.99,149.74
2017-05-27 23:45:02,13650.0,1160.43,150.5
2017-05-27 23:46:01,13700.0,1161.05,152.98
2017-05-27 23:47:01,13760.0,1163.01,154.0
2017-05-27 23:48:02,13760.0,1163.04,153.0
2017-05-27 23:49:01,13750.01,1164.0,153.79
2017-05-27 23:50:02,13800.0,1163.04,152.0
2017-05-27 23:51:01,13850.0,1165.0,151.0
2017-05-27 23:52:01,13800.0,1165.0,150.0
2017-05-27 23:53:01,13850.0,1165.99,150.99
2017-05-27 23:54:02,13850.0,1161.27,150.99
2017-05-27 23:55:02,13800.0,1161.27,151.97
2017-05-27 23:56:02,13847.98,1161.28,152.0
2017-05-27 23:57:02,13706.0,1161.3,152.0
2017-05-27 23:58:02,13706.0,1161.34,152.02
2017-05-27 23:59:01,13706.0,1161.34,152.0
2017-05-28 00:00:02,13748.0,1162.82,151.01
2017-05-28 00:01:01,13740.0,1169.98,152.0
2017-05-28 00:02:01,13740.0,1180.99,153.78
2017-05-28 00:03:01,13749.0,1185.0,154.0
2017-05-28 00:04:01,13859.0,1185.0,154.0
2017-05-28 00:05:01,13859.0,1190.02,153.98
2017-05-28 00:06:01,13859.0,1190.02,153.98
2017-05-28 00:07:02,13859.0,1190.02,153.98
2017-05-28 00:08:02,13859.0,1190.02,153.98
2017-05-28 00:09:02,14000.0,1195.56,155.0
2017-05-28 00:10:02,14100.0,1210.0,156.25
2017-05-28 00:11:01,14150.0,1220.83,157.9
2017-05-28 00:12:02,14199.0,1230.0,158.6
2017-05-28 00:13:02,14200.01,1235.0,158.5
2017-05-28 00:14:01,14300.0,1247.99,157.0
2017-05-28 00:15:02,14260.0,1250.1,158.4
2017-05-28 00:16:02,14210.0,1252.02,157.9
2017-05-28 00:17:02,14060.0,1221.0,157.0
2017-05-28 00:18:02,14100.0,1209.29,156.3
2017-05-28 00:19:01,14101.0,1211.74,156.08
2017-05-28 00:20:02,14260.0,1218.0,156.08
2017-05-28 00:21:02,14110.0,1215.03,156.97
2017-05-28 00:22:01,14110.01,1214.91,156.8
2017-05-28 00:23:02,14400.0,1215.0,156.5
2017-05-28 00:24:02,14478.01,1214.9,156.1
2017-05-28 00:25:02,14479.0,1201.03,156.1
2017-05-28 00:26:01,14400.0,1200.03,155.05
2017-05-28 00:27:01,14479.0,1190.07,155.05
